pdb_id,model_number,global_plddt,cdr1_A,cdr2_A,cdr3_A,cdr1_B,cdr2_B,cdr3_B,iptm_mean,iptm_tcrpmhc,pdockq,avgipae_pmhc,avgipae_tcr,pdockq2_pmhc,pdockq2_tcr
vdjdb_full_14562_rs_0_n0_iptm_filtered,0,93.37466231,88.20681818,93.85956522,87.184,87.13954545,92.03862745,86.03863636,0.844,0.865,0.5367358,0.616629,0.9184985,0.44327333,0.5811625
vdjdb_full_14562_rs_1_n0_iptm_filtered,2,90.10679529,75.53796296,78.59945946,66.53488636,84.6953125,80.53203704,78.10463158,0.4,0.5025,0.27259936,0.06915467,0.121599,0.00881367,0.0093325
vdjdb_full_14562_rs_2_n0_iptm_filtered,4,90.33414797,72.3027907,76.07192982,68.8812,68.2376,72.76347826,75.19352941,0.462,0.56,0.23162584,0.131818,0.2648965,0.01069567,0.0136875
vdjdb_full_14562_rs_3_n0_iptm_filtered,2,89.00677159,66.03022727,77.94543478,65.43680556,82.08027027,67.0462963,62.34075472,0.402,0.51,0.16537554,0.09334767,0.1652795,0.00946133,0.0095085
vdjdb_full_14562_rs_4_n0_iptm_filtered,0,92.72081312,87.40744681,82.61241379,84.06087912,86.91531915,83.33558824,80.57826087,0.61,0.6575,0.44576913,0.28432133,0.385382,0.02880133,0.0222395
vdjdb_full_14562_ss_0_n0_iptm_filtered,4,92.24717714,76.80431818,86.36326087,76.35911392,82.6386,85.30434783,83.32176471,0.65,0.7125,0.27240983,0.30881933,0.4874975,0.03615,0.0456325
vdjdb_full_14562_ss_1_n0_iptm_filtered,2,91.43400975,77.98961538,80.48636364,73.11934783,83.53333333,81.75313725,80.996,0.562,0.625,0.32484355,0.21984633,0.3798865,0.01749433,0.023732
vdjdb_full_14562_ss_2_n0_iptm_filtered,3,92.87716298,80.1148,86.90793651,79.19917808,89.85837209,87.3628,82.28433333,0.726,0.745,0.40634895,0.271886,0.704891,0.15584733,0.169307
vdjdb_full_14562_ss_3_n0_iptm_filtered,3,90.86325963,71.1275,63.18085714,78.29171053,74.6866,81.61521739,76.72209302,0.474,0.5675,0.20650598,0.09222167,0.1909195,0.009487,0.011232
vdjdb_full_14572_rs_1_n0_iptm_filtered,4,90.13254976,72.51,68.70057143,66.1812,80.38553191,78.10911111,71.7822,0.428,0.525,0.24693245,0.08091533,0.142174,0.00915833,0.009606
vdjdb_full_14572_rs_2_n0_iptm_filtered,3,92.31366305,87.97981132,85.99388889,90.96327586,80.77295455,84.17214286,75.10390244,0.736,0.765,0.38055835,0.430935,0.696662,0.09272267,0.1959305
vdjdb_full_14572_rs_3_n0_iptm_filtered,4,90.96592926,73.4796875,69.853,75.53216216,85.17361702,79.84222222,77.12815534,0.484,0.585,0.28761134,0.123325,0.207433,0.01056867,0.012314
vdjdb_full_14572_rs_4_n0_iptm_filtered,0,91.97732009,80.51788462,83.67181818,75.23862745,86.22060606,81.60078431,85.98329412,0.6,0.65,0.30765563,0.263399,0.4225235,0.02284133,0.0343755
vdjdb_full_14572_ss_0_n0_iptm_filtered,1,90.82843852,80.37510638,77.05982759,78.65068627,77.092,79.66709091,78.19986667,0.422,0.515,0.18739782,0.09206633,0.172288,0.009357,0.0108015
vdjdb_full_14572_ss_1_n0_iptm_filtered,0,89.76405487,72.33696429,77.06829268,58.56058824,86.59228571,76.73517241,79.17255556,0.414,0.525,0.28650884,0.074329,0.134221,0.008987,0.009206
vdjdb_full_14572_ss_4_n0_iptm_filtered,1,90.49143964,70.30409091,81.32065217,65.24425743,79.54106383,77.09486486,70.8842029,0.404,0.5,0.12813369,0.075493,0.1315695,0.00907067,0.009263
vdjdb_full_14576_rs_2_n0_iptm_filtered,2,89.7565976,71.62818182,81.63217391,65.56416667,80.55205882,77.8377551,71.12455446,0.538,0.62,0.27217521,0.175125,0.2919715,0.01334767,0.015471
vdjdb_full_14576_rs_3_n0_iptm_filtered,4,89.99743331,71.204,77.45280702,67.96448276,74.95418605,71.557,70.10116883,0.406,0.51,0.24554806,0.08003367,0.13533,0.00913733,0.0092435
vdjdb_full_14576_rs_4_n0_iptm_filtered,2,92.03675259,83.433,87.97257143,77.72,86.08785714,79.66938776,82.52130435,0.718,0.7375,0.29683713,0.497231,0.7413215,0.16986233,0.1500465
vdjdb_full_14576_ss_0_n0_iptm_filtered,3,89.74836661,59.57886364,62.88057143,71.89152778,81.40404255,75.68622222,67.9253,0.4,0.5075,0.24283167,0.070471,0.13184,0.00891233,0.0092255
vdjdb_full_14576_ss_1_n0_iptm_filtered,4,93.5616853,90.65522727,95.18673913,90.79643836,90.13315789,90.565,86.2283908,0.842,0.8475,0.533396,0.643578,0.918251,0.562464,0.632194
vdjdb_full_14576_ss_2_n0_iptm_filtered,3,90.95579695,79.34042553,78.81206897,71.78314815,87.26,78.99354839,77.30964706,0.514,0.595,0.27849452,0.12927967,0.2243055,0.011099,0.012001
vdjdb_full_14576_ss_3_n0_iptm_filtered,3,92.90093769,89.06136364,91.595,89.63738462,84.46361702,87.18216216,82.46129032,0.814,0.81,0.4350206,0.62370867,0.8756505,0.44160733,0.454078
